N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
16,4,2,16,5,1.0000,1.0000,0.0069,0.8080,0.9994,1.0000,0.8336,0.6250,0.0820,0.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,1.0000,1.0000,0.9994,1.0000,0.8336,0.6277,0.0205,0.0000
16,4,4,16,5,0.9971,0.9971,0.0237,0.8569,0.9836,0.9627,0.7893,0.5737,0.0820,0.0400,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9997,1.0000,0.9937,0.9900,0.8089,0.5973,0.0205,0.0100
16,4,6,16,5,0.9791,0.9354,0.2346,0.8349,0.9287,0.8503,0.6633,0.5177,0.0820,0.1300,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9940,0.9946,0.9779,0.9454,0.7750,0.5649,0.0205,0.0600
16,4,8,16,5,0.9233,0.8432,0.5260,0.7704,0.8005,0.7578,0.4658,0.4647,0.0820,0.1500,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9863,0.9631,0.9463,0.8816,0.7093,0.5317,0.0205,0.1100
16,4,10,16,5,0.8312,0.7831,0.5838,0.7307,0.6660,0.6680,0.3322,0.4181,0.0820,0.1700,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9691,0.8948,0.8933,0.8110,0.5906,0.4985,0.0205,0.1400
16,4,12,16,5,0.7134,0.7246,0.5543,0.6980,0.4874,0.5243,0.2348,0.3410,0.0820,0.3500,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9256,0.8454,0.7973,0.7658,0.4666,0.4680,0.0205,0.1600
16,4,14,16,5,0.4637,0.5693,0.4088,0.5608,0.2386,0.2841,0.1265,0.2502,0.0820,0.6200,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.8458,0.7985,0.6894,0.6953,0.3605,0.4310,0.0205,0.1600
16,4,16,16,5,0.0830,0.2529,0.0830,0.2529,0.0152,0.0632,0.0129,0.1311,0.0820,1.4300,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.7111,0.7327,0.4703,0.5150,0.2357,0.3402,0.0205,0.4000
32,2,2,4,5,0.9703,0.9080,0.3003,0.6672,0.9174,0.8251,0.5540,0.7928,0.0084,0.1500,0.9986,0.9946,0.9947,0.9703,0.7398,0.9148,0.0000,0.0300,0.9934,0.9648,0.9776,0.9034,0.6509,0.8609,0.0042,0.0900
32,2,4,4,5,0.2966,0.3644,0.1327,0.2340,0.2108,0.1955,0.0884,0.1402,0.0084,0.9200,0.9986,0.9946,0.9947,0.9703,0.7398,0.9148,0.0000,0.0300,0.8947,0.8097,0.7840,0.6948,0.3863,0.6778,0.0042,0.2500
32,3,2,4,5,0.9857,0.9330,0.2411,0.6823,0.9496,0.8609,0.5942,0.8224,0.0127,0.1200,0.9986,0.9946,0.9947,0.9703,0.7398,0.9148,0.0000,0.0300,0.9934,0.9648,0.9776,0.9034,0.6509,0.8609,0.0042,0.0900
